開始時刻,終了時刻,発言者,発言内容
00時17分50秒,00時18分00秒,株式会社VOLTMIND 長富元気,例えば、この一つの会社ごとに一個一個のファイルを落としたとして、例えば今これ。株式会社ガーベラっていうのが入ってるんですけど。
00時18分00秒,00時18分00秒,E342TAN001,はい。はいはい。
00時18分00秒,00時18分06秒,株式会社VOLTMIND 長富元気,これを例えば学生が就職支援アドバイザーで
00時18分06秒,00時18分09秒,株式会社VOLTMIND 長富元気,株式会社ガーベラについて欲しいです。
00時18分10秒,00時18分11秒,E342TAN001,みたいなこと。
00時18分11秒,00時18分17秒,株式会社VOLTMIND 長富元気,音を聞いたときに、アップロードしたファイルの情報をベースにaiが回答するっていうことが。
00時18分18秒,00時18分24秒,株式会社VOLTMIND 長富元気,いるので、今回その社内のそのナレッジの共有であったりとか、
00時18分24秒,00時18分30秒,株式会社VOLTMIND 長富元気,既存の。その。すでに管理しているファイルの情報をもとに回答を作るみたいな。
00時18分30秒,00時18分31秒,E342TAN001,はい。はいはい。
00時18分31秒,00時18分33秒,株式会社VOLTMIND 長富元気,言うとかなり近しいのかな？と
00時18分33秒,00時18分35秒,株式会社VOLTMIND 長富元気,しているところでございます。
00時18分36秒,00時18分47秒,株式会社VOLTMIND 長富元気,でえっと、ごめんなさい。ちょっとバーっと喋っちゃったんですけど、一旦かなりこう関連性が強そうなところで言うと、そういったところが弊社としては、今まで作ってきたものになっております。
00時18分47秒,00時18分49秒,E342TAN001,はい、ありがとうございま。
00時18分49秒,00時18分52秒,株式会社VOLTMIND 長富元気,ありがとうございます。ちょっと共有停止して。
00時18分52秒,00時18分53秒,E342TAN001,ありがとうござ。
00時18分53秒,00時19分01秒,株式会社VOLTMIND 長富元気,で、えっと、一旦その中でデニーレディクルさんから情報はご共有
00時19分02秒,00時19分03秒,株式会社VOLTMIND 長富元気,させていただいてるんですけれども。
00時19分03秒,00時19分04秒,E342TAN001,はい。はい。
00時19分04秒,00時19分16秒,株式会社VOLTMIND 長富元気,えっと、ま、今回やりたいことっていうところがえっと一言で言うと、えー、社内のチャットボットを開発して業務を効率化するっていうところなのかなと思っています。
00時19分16秒,00時19分17秒,E342TAN001,そうですね。はいはい。
00時19分18秒,00時19分19秒,吉武克のiPad,すいません。遅れました。
00時19分19秒,00時19分20秒,E342TAN001,よろしくお願いします。
00時19分20秒,00時19分22秒,吉武克のiPad,ボルトマンの吉武と申します。
00時19分22秒,00時19分25秒,E342TAN001,あ、ビッグジャパンの種と申します。よろしくお願いします。
00時19分25秒,00時19分26秒,株式会社VOLTMIND 長富元気,よろしい。
00時19分26秒,00時19分27秒,吉武克のiPad,すいません。届けてください。
00時19分27秒,00時19分42秒,株式会社VOLTMIND 長富元気,はい、ありがとうございます。でえっとま、今回そのチャットボットを開発するにあたって、えっとま、現状で、その社内のマニュアルであったりとかえ、ナレッジの共有みたいなところをえっと、なんだっけ？シェアポイントを使われて。
00時19分42秒,00時19分44秒,E342TAN001,はい、やっている
00時19分44秒,00時19分45秒,E342TAN001,そうですね。はい。
00時19分45秒,00時19分55秒,株式会社VOLTMIND 長富元気,で、えっと、そうですね。ちょっとざっくばらんにいろいろこう。どんなシステムを作っていくべきかっていうところの解像度を上げるために、いろいろこうご質問させていただければ。
00時19分55秒,00時19分57秒,E342TAN001,あ、はい、お願いします。はい。
00時19分58秒,00時20分00秒,株式会社VOLTMIND 長富元気,ありがとうございます。越冬
00時20分00秒,00時20分04秒,株式会社VOLTMIND 長富元気,そうですね。まず今回。えっと、
00時20分04秒,00時20分10秒,株式会社VOLTMIND 長富元気,今回のプロジェクトのその前提であったり、ゴールみたいなところの整理をさせていただきたいんです。けれども。
00時20分10秒,00時20分11秒,E342TAN001,はい。
00時20分11秒,00時20分15秒,株式会社VOLTMIND 長富元気,今回、業務効率化、生産性の向上みたいな
00時20分16秒,00時20分30秒,株式会社VOLTMIND 長富元気,目的があったときに、具体的にどんな状態になったらその達成したと言えるみたいな。例えば、その特定の問い合わせの対応。社内の問い合わせ対応が何パーセント減りましたとか。
00時20分30秒,00時20分31秒,E342TAN001,はあはあはあ。
00時20分31秒,00時20分40秒,株式会社VOLTMIND 長富元気,この作業をする時間が一ヶ月で何時間短縮できました。みたいな。例えばそういう定量的な目標とか、もしあるのであれば。
00時20分40秒,00時20分41秒,E342TAN001,はい。
00時20分41秒,00時20分43秒,株式会社VOLTMIND 長富元気,お伺いしたいなと思っておりまして。
00時20分43秒,00時20分59秒,E342TAN001,はい、ありがとうございます。ちょっとねその定量的な目標というのはすいません。今のところ立ててなくてざっくりとしたまー項目イメージみたいなゴールしか描いてないんですね。で、っていうのはちょっとこれには理由があって、今どれだけのこう、
00時20分59秒,00時21分00秒,E342TAN001,どんな種類、
00時21分01秒,00時21分05秒,E342TAN001,どういったタイプの情報を
00時21分05秒,00時21分06秒,E342TAN001,まあ
00時21分06秒,00時21分18秒,E342TAN001,読ませることができれば、ま、その外部にね。こう出すことができるかっていうのがまだ議論中。で、最初はなんかもう何でも出しちゃえよみたいな雰囲気だったんですけど、いやいやいやみたいな。まーうち本社がドイツで。
00時21分18秒,00時21分19秒,株式会社VOLTMIND 長富元気,はい。
00時21分19秒,00時21分43秒,E342TAN001,で本社の人間とやるとしたら、いやいや、ちょっと、その秘匿性高い情報を外部に出すのはどうかな？みたいな。こうま、結構コンサバな感じだったんで、じゃあちょっと方向変えるみたいな状況になってるっていうのは一つま背景にはあります。で、そういった状況背景の中で、今やろうとしていることは大きくは二つあります。一つはえっと、今おっしゃっていただいたような。えっと、社内のま、なんていうかな。ま、ルール
00時21分43秒,00時21分50秒,E342TAN001,規則的なところですね。そのま繰り返しの問い合わせがあって、それに対して特定の人間が何回も同じようなこう
00時21分50秒,00時21分54秒,E342TAN001,回答してる。それが日常業務の中で。
00時21分55秒,00時21分55秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時21分55秒,00時22分03秒,E342TAN001,どれぐらいのパーセントが把握してないんですけど、結構な割合としてあるようだと、そこをまなくしていくというのが一つのえっと、ターゲットです。
00時22分04秒,00時22分07秒,E342TAN001,で、もう一つの方は、えっと、
00時22分09秒,00時22分33秒,E342TAN001,もう一つのイメージは製品知識ですね。私ども製造業なんですけども。えっと、製品がものすごいたくさんの数あるんですよ。千個ぐらい多分あります。で、その製品の製品知識に対する理解度というのがやっぱり社員によって全然違ってます。そこを揃えていきたいなと思ってます。で、これは最終的にはお客様へのアウトプットの質を揃えたいとか。
00時22分33秒,00時22分35秒,E342TAN001,えっと、
00時22分35秒,00時22分50秒,E342TAN001,そうそうですね。アウトプットの質、ま提案の質みたいなのものをまよりなんていうかな、高いレベルに持っていきたいなというふうに考えてます。で、もっともっと加えて言うと、もうま、チャットボットみたいなものを具体的には考えてるんですけど、もうそんなのお客さんに使っていただいて。
00時22分50秒,00時22分51秒,株式会社VOLTMIND 長富元気,うーん。
00時22分52秒,00時22分53秒,E342TAN001,いわゆる。なんか聞いて
00時22分53秒,00時22分59秒,E342TAN001,お答えするみたいな作業っていうのはわざわざもう人間営業マンがやらなくてもいいんじゃないかっていうことを
00時22分59秒,00時23分01秒,E342TAN001,考えているというのが今のイメージです。
00時23分01秒,00時23分02秒,株式会社VOLTMIND 長富元気,なるほど。なるほど。
00時23分02秒,00時23分04秒,E342TAN001,はい、すいません。ちょっと全然定量じゃない。
00時23分04秒,00時23分04秒,株式会社VOLTMIND 長富元気,いやとんでもない。
00時23分04秒,00時23分05秒,E342TAN001,そういうことです。
00時23分05秒,00時23分12秒,株式会社VOLTMIND 長富元気,ありがとうございます。まずは社内で繰り返しの問い合わせであったりとか。あとは製品知識の解像度を上げるっていうところ。
00時23分12秒,00時23分13秒,E342TAN001,そうですね。
00時23分13秒,00時23分24秒,株式会社VOLTMIND 長富元気,ところをやりつつゆくゆくはお客様の対応みたいなところも効率化できたらいいよね。みたいな背景があるっていう理解でよろしかったでしょうか？
00時23分24秒,00時23分28秒,E342TAN001,そうですね。はい、効率化と。あともう一つは、やっぱリーチできてないお客さんにも
00時23分28秒,00時23分31秒,E342TAN001,こんなことできるんじゃないかということですね。
00時23分32秒,00時23分35秒,E342TAN001,しよ。たい人じゃなくても、勝手にお客さんが。
00時23分36秒,00時23分37秒,株式会社VOLTMIND 長富元気,ありがとうございます。
00時23分38秒,00時23分46秒,株式会社VOLTMIND 長富元気,そうですね。えっと、今えっと。じゃあちょっといろいろまたお聞きしていきたいところで、えっと、
00時23分46秒,00時23分55秒,株式会社VOLTMIND 長富元気,今回そのま大きく二つあるっていうお話だったと思ですけれども、これ強いて言うなら優先度つけるとどっちが上とかありますか？
00時23分57秒,00時23分59秒,株式会社VOLTMIND 長富元気,なければないで、もちろん同じ
00時23分59秒,00時24分03秒,株式会社VOLTMIND 長富元気,重要度としてシステム作ればいいと思ですけど。
00時24分03秒,00時24分05秒,E342TAN001,そうですね。まあ、強いて言うなら、
00時24分06秒,00時24分07秒,E342TAN001,社内の
00時24分07秒,00時24分12秒,E342TAN001,問い合わせ件数を減らすってことかなと思います。というのも
00時24分12秒,00時24分12秒,E342TAN001,ありがとうござい。
00時24分13秒,00時24分16秒,E342TAN001,情報共有のハードルが低そうだなと思うからです。
00時24分16秒,00時24分17秒,株式会社VOLTMIND 長富元気,なるほど。
00時24分19秒,00時24分21秒,E342TAN001,で効果も見えやすい
00時24分21秒,00時24分23秒,E342TAN001,っていうところですね。まあまあその分ちょっ。
00時24分24秒,00時24分31秒,E342TAN001,内容にパンチがないというか、若干そのコモデ。今コモニティかとまでは言えないですけど。はいあーっていう。
00時24分31秒,00時24分31秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時24分31秒,00時24分33秒,E342TAN001,感じにはなるかなとは思います。
00時24分34秒,00時24分36秒,株式会社VOLTMIND 長富元気,承知しました。ありがとうございます。
00時24分36秒,00時24分44秒,株式会社VOLTMIND 長富元気,えっと、今回お使いになられる。まず最初の想定は、あの長崎拠点の方の十名程度でお使い。
00時24分45秒,00時24分46秒,E342TAN001,今はそう考えてます。
00時24分46秒,00時24分51秒,株式会社VOLTMIND 長富元気,承知いたしました。その十人の方ってどういったその。
00時24分51秒,00時24分51秒,E342TAN001,はい。
00時24分51秒,00時24分55秒,株式会社VOLTMIND 長富元気,部署の方で役職の方でとかってお聞きしても。
00時24分55秒,00時24分58秒,E342TAN001,はい、全員あのいわゆる技術
00時24分59秒,00時25分05秒,E342TAN001,の部署に属しているもので、私どもラボですね。研究テクニカルセンターという名の
00時25分06秒,00時25分12秒,E342TAN001,研究室みたいなところになります。で、役職は部長から一般社員までってことで。
00時25分12秒,00時25分12秒,株式会社VOLTMIND 長富元気,ありがとうござ。
00時25分13秒,00時25分14秒,E342TAN001,えっと、部長は
00時25分15秒,00時25分19秒,E342TAN001,うちの会社で言うと、もう社長の次のポジションみたいな。ちっさん組織なので、
00時25分19秒,00時25分20秒,E342TAN001,なるほど。なるほど、
00時25分20秒,00時25分23秒,E342TAN001,結構だから、その階層は広い感じですね。
00時25分23秒,00時25分24秒,株式会社VOLTMIND 長富元気,あ。なるほど。なるほど。
00時25分25秒,00時25分27秒,E342TAN001,ただそうですね。十人ぐらいしかいないです。
00時25分29秒,00時25分31秒,株式会社VOLTMIND 長富元気,承知しました。はい。えっと、
00時25分38秒,00時25分41秒,株式会社VOLTMIND 長富元気,ありがとうございます。あとは
00時25分44秒,00時25分51秒,株式会社VOLTMIND 長富元気,あと具体的なこう利用シーンみたいなところをあの、もちろんあのお伝えいただける範囲で大丈夫なんですけれども。
00時25分51秒,00時25分52秒,E342TAN001,はい。はいはいはい。
00時25分52秒,00時25分54秒,株式会社VOLTMIND 長富元気,お伺いしてもよろしいでしょうか？
00時25分54秒,00時25分54秒,E342TAN001,はい、
00時25分54秒,00時25分57秒,E342TAN001,例えば社内のルールみたいなところで言うと。
00時25分57秒,00時25分58秒,株式会社VOLTMIND 長富元気,はい。
00時25分58秒,00時26分24秒,E342TAN001,めっちゃ具体的な例を挙げると海外出張行きました。帰ってきました。あれ？旅費の生産ってどうするんやったっけ？みたいなこのホテルとか。これなんか日付またいだ時の日当とか時差あった時の日当とかどうするんでしたっけ？みたいなのってやっぱあって、であ、いやだからどっかにあったはずで、その情報みたいなのをこうみんなのなんか調べに行って、なんか探してるだけでめっちゃ時間経ってるみたいな。そういった類いのはい、業務がある。はある。なんでその辺をなんかどっかでワンストップで
00時26分24秒,00時26分27秒,E342TAN001,回答を得られるようなものがあれば、まあかなり
00時26分27秒,00時26分30秒,E342TAN001,業務効率化できるんじゃないかなと思ってますんで、
00時26分30秒,00時26分39秒,E342TAN001,まあ、似たような似たような。というか、属性として同じような情報では、やっぱり機器がたくさんあるんですよね。あの分析機器とか。
00時26分39秒,00時26分39秒,株式会社VOLTMIND 長富元気,あーそう。
00時26分39秒,00時26分40秒,E342TAN001,あーとはい。
00時26分41秒,00時26分46秒,E342TAN001,で、機器操作の説明書ってやっぱ分厚くて。
00時26分46秒,00時26分47秒,株式会社VOLTMIND 長富元気,伸びて。
00時26分47秒,00時26分48秒,E342TAN001,読みにくくて。
00時26分49秒,00時26分55秒,E342TAN001,で目的の情報を探すのって結構大変なんで、そういったところも自然言語で質問できて、なんか回答みたいなのもらえたら。
00時26分55秒,00時26分56秒,株式会社VOLTMIND 長富元気,確かに。
00時26分56秒,00時26分58秒,E342TAN001,すごくみんな楽になるんじゃないかなと思います。
00時26分58秒,00時26分59秒,E342TAN001,はーい。
00時26分59秒,00時27分02秒,株式会社VOLTMIND 長富元気,もう目次から探すだけでも大変そうですもんね。
00時27分02秒,00時27分09秒,E342TAN001,そうなんですよね。まず、なんかあの、あれ、説明書どこ行ったみたいな時点で時間経っちゃってるみたいなところがあるので。
00時27分09秒,00時27分10秒,株式会社VOLTMIND 長富元気,ありがとうござい。
00時27分11秒,00時27分13秒,株式会社VOLTMIND 長富元気,もう一つ。はい、すいませ。
00時27分13秒,00時27分14秒,株式会社VOLTMIND 長富元気,なるほど。はい。
00時27分14秒,00時27分23秒,E342TAN001,まマニュアルとかルール系はそういったところでもう一つだから製品知識は特に。まあ新人の教育みたいなところに関することです。とか
00時27分23秒,00時27分23秒,E342TAN001,ありがとう。
00時27分23秒,00時27分26秒,E342TAN001,あるいはその年配者でも退職
00時27分26秒,00時27分27秒,E342TAN001,が近い。
00時27分27秒,00時27分40秒,E342TAN001,その社員のま知識をまどう伝えていくかというところ。ま、そのナレッジマネージメントみたいなところで活用できればなという風に思ってます。だからこっちはちょっと難易度高いかなという風にも。
